"year","age_group","ghe_cause","avg_mean_value","avg_age_standardized_rate"
2011,"60 to 64 years","Stroke",361778.13,39.02
2010,"60 to 64 years","Stroke",346140.89,39.47
2015,"60 to 64 years","Chronic Obstructive Pulmonary Disease",237139.24,20.41
2013,"60 to 64 years","Chronic Obstructive Pulmonary Disease",237037.44,21.72
2014,"60 to 64 years","Chronic Obstructive Pulmonary Disease",231223.53,20.53
2016,"60 to 64 years","Chronic Obstructive Pulmonary Disease",230842.53,19.48
2012,"60 to 64 years","Chronic Obstructive Pulmonary Disease",224991.63,21.91
2017,"60 to 64 years","Chronic Obstructive Pulmonary Disease",224564.39,18.7
2018,"60 to 64 years","Chronic Obstructive Pulmonary Disease",223939.41,18.5
2011,"60 to 64 years","Chronic Obstructive Pulmonary Disease",216571.65,22.2
2019,"60 to 64 years","Chronic Obstructive Pulmonary Disease",216219.65,17.54
2010,"60 to 64 years","Chronic Obstructive Pulmonary Disease",208146.47,22.45
2013,"60 to 64 years","Lung Cancer",134175.23,9.63
2014,"60 to 64 years","Lung Cancer",128853.87,8.99
2015,"60 to 64 years","Lung Cancer",128005.5,8.73
2016,"60 to 64 years","Lung Cancer",122900.02,8.25
2017,"60 to 64 years","Lung Cancer",120429.61,8.05
2012,"60 to 64 years","Lung Cancer",116974.34,9.07
2018,"60 to 64 years","Lung Cancer",112858.49,7.67
2016,"60 to 64 years","Acute Lower Respiratory Infections",111895.24,13.65
2018,"60 to 64 years","Acute Lower Respiratory Infections",111825.24,13.0
2015,"60 to 64 years","Acute Lower Respiratory Infections",110620.71,13.94
2019,"60 to 64 years","Acute Lower Respiratory Infections",110518.25,12.55
2011,"60 to 64 years","Lung Cancer",110374.42,9.1
2017,"60 to 64 years","Acute Lower Respiratory Infections",109865.39,13.16
2019,"60 to 64 years","Lung Cancer",107372.18,7.21
2014,"60 to 64 years","Acute Lower Respiratory Infections",105656.61,13.91
2013,"60 to 64 years","Acute Lower Respiratory Infections",105175.56,14.33
2012,"60 to 64 years","Acute Lower Respiratory Infections",101311.89,14.62
2010,"60 to 64 years","Lung Cancer",100347.45,8.81
2011,"60 to 64 years","Acute Lower Respiratory Infections",97159.56,14.76
2010,"60 to 64 years","Acute Lower Respiratory Infections",94150.38,15.01
2019,"65 to 69 years","Ischaemic Heart Disease",751887.33,72.92
2018,"65 to 69 years","Ischaemic Heart Disease",736464.77,74.54
2017,"65 to 69 years","Ischaemic Heart Disease",703374.71,74.42
2016,"65 to 69 years","Ischaemic Heart Disease",679020.71,75.43
2015,"65 to 69 years","Ischaemic Heart Disease",655512.65,76.29
2014,"65 to 69 years","Ischaemic Heart Disease",630496.46,76.25
2013,"65 to 69 years","Ischaemic Heart Disease",625169.81,78.17
2012,"65 to 69 years","Ischaemic Heart Disease",616105.98,80.17
2011,"65 to 69 years","Ischaemic Heart Disease",609789.41,81.41
2010,"65 to 69 years","Ischaemic Heart Disease",607214.85,83.29
2019,"65 to 69 years","Stroke",435420.78,35.87
2018,"65 to 69 years","Stroke",428174.11,37.03
2017,"65 to 69 years","Stroke",416646.77,37.63
2016,"65 to 69 years","Stroke",404111.75,38.56
2015,"65 to 69 years","Stroke",392494.33,39.36
2013,"65 to 69 years","Stroke",392484.74,42.22
2014,"65 to 69 years","Stroke",382882.45,40.04
2012,"65 to 69 years","Stroke",379160.95,42.8
2011,"65 to 69 years","Stroke",376418.62,43.74
2010,"65 to 69 years","Stroke",374239.4,44.8
2018,"65 to 69 years","Chronic Obstructive Pulmonary Disease",277535.68,23.04
2019,"65 to 69 years","Chronic Obstructive Pulmonary Disease",277269.84,21.91
2013,"65 to 69 years","Chronic Obstructive Pulmonary Disease",267922.88,27.41
2017,"65 to 69 years","Chronic Obstructive Pulmonary Disease",267036.63,23.18
2011,"65 to 69 years","Chronic Obstructive Pulmonary Disease",263738.11,28.83
2016,"65 to 69 years","Chronic Obstructive Pulmonary Disease",262664.93,24.0
2015,"65 to 69 years","Chronic Obstructive Pulmonary Disease",262493.53,25.05
2012,"65 to 69 years","Chronic Obstructive Pulmonary Disease",262384.13,27.97
2010,"65 to 69 years","Chronic Obstructive Pulmonary Disease",260798.26,29.31
2014,"65 to 69 years","Chronic Obstructive Pulmonary Disease",255570.25,25.46
2019,"65 to 69 years","Acute Lower Respiratory Infections",124015.24,13.94
2018,"65 to 69 years","Acute Lower Respiratory Infections",122759.46,14.42
2017,"65 to 69 years","Acute Lower Respiratory Infections",117712.39,14.57
2016,"65 to 69 years","Acute Lower Respiratory Infections",116300.45,15.02
2019,"65 to 69 years","Lung Cancer",116196.69,7.15
2018,"65 to 69 years","Lung Cancer",115960.18,7.51
2017,"65 to 69 years","Lung Cancer",115840.26,7.78
2015,"65 to 69 years","Acute Lower Respiratory Infections",112584.4,15.26
2016,"65 to 69 years","Lung Cancer",109889.39,7.83
2013,"65 to 69 years","Lung Cancer",109741.74,8.95
2013,"65 to 69 years","Acute Lower Respiratory Infections",109464.25,15.9
2015,"65 to 69 years","Lung Cancer",108550.44,8.14
2012,"65 to 69 years","Acute Lower Respiratory Infections",108162.4,16.32
2014,"65 to 69 years","Acute Lower Respiratory Infections",107167.34,15.23
2011,"65 to 69 years","Acute Lower Respiratory Infections",107075.0,16.61
2010,"65 to 69 years","Acute Lower Respiratory Infections",106220.78,16.94
2014,"65 to 69 years","Lung Cancer",105910.78,8.33
2012,"65 to 69 years","Lung Cancer",98135.05,8.52
2011,"65 to 69 years","Lung Cancer",95827.43,8.66
2010,"65 to 69 years","Lung Cancer",90314.78,8.49
2010,"70 to 74 years","Ischaemic Heart Disease",654145.11,81.08
2019,"70 to 74 years","Ischaemic Heart Disease",649163.27,68.41
2011,"70 to 74 years","Ischaemic Heart Disease",646064.29,79.63
2012,"70 to 74 years","Ischaemic Heart Disease",639745.45,78.97
2018,"70 to 74 years","Ischaemic Heart Disease",635376.34,69.91
2013,"70 to 74 years","Ischaemic Heart Disease",633409.99,77.43
2017,"70 to 74 years","Ischaemic Heart Disease",618437.21,70.34
2015,"70 to 74 years","Ischaemic Heart Disease",609839.14,73.27
2016,"70 to 74 years","Ischaemic Heart Disease",607418.94,71.33
2014,"70 to 74 years","Ischaemic Heart Disease",604106.13,73.92
2010,"70 to 74 years","Stroke",409843.31,44.93
2013,"70 to 74 years","Stroke",405160.97,43.29
2011,"70 to 74 years","Stroke",405009.64,44.06
2012,"70 to 74 years","Stroke",399165.67,43.43
2019,"70 to 74 years","Stroke",391466.95,35.83
2018,"70 to 74 years","Stroke",385648.53,37.05
2017,"70 to 74 years","Stroke",383496.65,37.91
2014,"70 to 74 years","Stroke",382292.06,40.82
2015,"70 to 74 years","Stroke",381225.92,39.96
2016,"70 to 74 years","Stroke",379708.28,38.81
2013,"70 to 74 years","Chronic Obstructive Pulmonary Disease",318239.61,32.21
2011,"70 to 74 years","Chronic Obstructive Pulmonary Disease",309917.48,32.17
2012,"70 to 74 years","Chronic Obstructive Pulmonary Disease",309347.69,31.95
2010,"70 to 74 years","Chronic Obstructive Pulmonary Disease",308591.53,32.45
2014,"70 to 74 years","Chronic Obstructive Pulmonary Disease",296194.81,29.86
2015,"70 to 74 years","Chronic Obstructive Pulmonary Disease",293611.16,29.01
2018,"70 to 74 years","Chronic Obstructive Pulmonary Disease",291044.56,26.62
2019,"70 to 74 years","Chronic Obstructive Pulmonary Disease",288684.36,25.2
2016,"70 to 74 years","Chronic Obstructive Pulmonary Disease",288047.98,27.84
2017,"70 to 74 years","Chronic Obstructive Pulmonary Disease",287986.54,27.03
2019,"70 to 74 years","Acute Lower Respiratory Infections",123812.63,15.24
2018,"70 to 74 years","Acute Lower Respiratory Infections",123013.97,15.76
2013,"70 to 74 years","Acute Lower Respiratory Infections",120533.92,17.43
2017,"70 to 74 years","Acute Lower Respiratory Infections",120383.9,15.97
2016,"70 to 74 years","Acute Lower Respiratory Infections",119692.8,16.33
2015,"70 to 74 years","Acute Lower Respiratory Infections",117917.56,16.58
2012,"70 to 74 years","Acute Lower Respiratory Infections",117907.29,17.57
2011,"70 to 74 years","Acute Lower Respiratory Infections",115760.7,17.58
2014,"70 to 74 years","Acute Lower Respiratory Infections",115521.76,16.67
2010,"70 to 74 years","Acute Lower Respiratory Infections",114928.29,17.78
2013,"70 to 74 years","Lung Cancer",93452.25,7.64
2017,"70 to 74 years","Lung Cancer",87644.71,6.51
2014,"70 to 74 years","Lung Cancer",87414.62,7.1
2011,"70 to 74 years","Lung Cancer",86988.04,7.3
2015,"70 to 74 years","Lung Cancer",86933.26,6.9
2019,"70 to 74 years","Lung Cancer",86913.52,5.94
2018,"70 to 74 years","Lung Cancer",86572.07,6.25
2012,"70 to 74 years","Lung Cancer",86071.69,7.2
2016,"70 to 74 years","Lung Cancer",84900.47,6.54
2010,"70 to 74 years","Lung Cancer",84284.02,7.16
2014,"75 to 79 years","Ischaemic Heart Disease",609365.88,65.56
2013,"75 to 79 years","Ischaemic Heart Disease",606254.23,66.54
2015,"75 to 79 years","Ischaemic Heart Disease",600062.84,64.59
2016,"75 to 79 years","Ischaemic Heart Disease",585370.15,62.77
2012,"75 to 79 years","Ischaemic Heart Disease",584332.05,66.68
2017,"75 to 79 years","Ischaemic Heart Disease",577480.91,61.82
2011,"75 to 79 years","Ischaemic Heart Disease",574125.1,67.16
2018,"75 to 79 years","Ischaemic Heart Disease",573107.43,61.26
2010,"75 to 79 years","Ischaemic Heart Disease",566556.56,68.22
2019,"75 to 79 years","Ischaemic Heart Disease",556839.8,58.95
2013,"75 to 79 years","Stroke",387536.41,38.13
2014,"75 to 79 years","Stroke",374949.26,36.57
2012,"75 to 79 years","Stroke",370986.84,37.91
2011,"75 to 79 years","Stroke",369858.78,38.62
2010,"75 to 79 years","Stroke",366491.98,39.38
2015,"75 to 79 years","Stroke",365647.02,35.61
2016,"75 to 79 years","Stroke",356735.79,34.54
2017,"75 to 79 years","Stroke",351435.82,33.83
2018,"75 to 79 years","Stroke",343478.82,33.12
2019,"75 to 79 years","Stroke",335499.39,31.82
2013,"75 to 79 years","Chronic Obstructive Pulmonary Disease",302041.71,28.65
2014,"75 to 79 years","Chronic Obstructive Pulmonary Disease",287677.51,27.06
2012,"75 to 79 years","Chronic Obstructive Pulmonary Disease",285193.57,28.06
2011,"75 to 79 years","Chronic Obstructive Pulmonary Disease",284467.22,28.65
2015,"75 to 79 years","Chronic Obstructive Pulmonary Disease",280535.12,26.11
2010,"75 to 79 years","Chronic Obstructive Pulmonary Disease",279741.65,29.09
2016,"75 to 79 years","Chronic Obstructive Pulmonary Disease",269262.12,24.86
2017,"75 to 79 years","Chronic Obstructive Pulmonary Disease",265385.36,24.27
2018,"75 to 79 years","Chronic Obstructive Pulmonary Disease",264754.06,24.15
2019,"75 to 79 years","Chronic Obstructive Pulmonary Disease",256758.97,22.88
2013,"75 to 79 years","Acute Lower Respiratory Infections",110872.61,15.3
2018,"75 to 79 years","Acute Lower Respiratory Infections",110630.13,14.17
2015,"75 to 79 years","Acute Lower Respiratory Infections",110456.91,14.8
2016,"75 to 79 years","Acute Lower Respiratory Infections",109430.91,14.47
2014,"75 to 79 years","Acute Lower Respiratory Infections",109430.76,14.88
2019,"75 to 79 years","Acute Lower Respiratory Infections",109018.84,13.69
2017,"75 to 79 years","Acute Lower Respiratory Infections",108915.44,14.23
2012,"75 to 79 years","Acute Lower Respiratory Infections",105459.95,15.25
2011,"75 to 79 years","Acute Lower Respiratory Infections",103815.66,15.42
2010,"75 to 79 years","Acute Lower Respiratory Infections",101979.32,15.63
2013,"75 to 79 years","Lung Cancer",70134.06,5.3
2014,"75 to 79 years","Lung Cancer",65681.15,4.91
2015,"75 to 79 years","Lung Cancer",63710.54,4.72
2012,"75 to 79 years","Lung Cancer",63329.11,4.99
2011,"75 to 79 years","Lung Cancer",62776.0,5.09
2017,"75 to 79 years","Lung Cancer",61039.51,4.45
2016,"75 to 79 years","Lung Cancer",60990.14,4.48
2010,"75 to 79 years","Lung Cancer",59116.54,4.97
2018,"75 to 79 years","Lung Cancer",58019.28,4.24
2019,"75 to 79 years","Lung Cancer",56226.66,4.01
2018,"80 years and over","Ischaemic Heart Disease",976085.39,86.61
2019,"80 years and over","Ischaemic Heart Disease",962036.65,84.41
2017,"80 years and over","Ischaemic Heart Disease",951020.4,86.67
2016,"80 years and over","Ischaemic Heart Disease",917888.72,87.29
2014,"80 years and over","Ischaemic Heart Disease",915396.09,91.56
2013,"80 years and over","Ischaemic Heart Disease",913553.72,92.79
2015,"80 years and over","Ischaemic Heart Disease",911497.26,90.41
2012,"80 years and over","Ischaemic Heart Disease",870531.21,91.55
2011,"80 years and over","Ischaemic Heart Disease",848320.4,92.15
2010,"80 years and over","Ischaemic Heart Disease",819381.4,93.52
2013,"80 years and over","Stroke",483101.33,45.96
2018,"80 years and over","Stroke",478025.08,40.1
2017,"80 years and over","Stroke",477197.95,40.91
2019,"80 years and over","Stroke",471251.2,38.82
2014,"80 years and over","Stroke",470640.54,44.25
2016,"80 years and over","Stroke",464910.95,41.58
2015,"80 years and over","Stroke",460464.95,43.03
2012,"80 years and over","Stroke",455267.19,45.2
2011,"80 years and over","Stroke",451299.19,46.35
2010,"80 years and over","Stroke",435327.8,47.32
2013,"80 years and over","Chronic Obstructive Pulmonary Disease",416668.05,40.14
2014,"80 years and over","Chronic Obstructive Pulmonary Disease",404674.66,38.65
2018,"80 years and over","Chronic Obstructive Pulmonary Disease",401651.56,33.77
2017,"80 years and over","Chronic Obstructive Pulmonary Disease",397491.38,34.0
2015,"80 years and over","Chronic Obstructive Pulmonary Disease",392125.72,36.93
2019,"80 years and over","Chronic Obstructive Pulmonary Disease",390856.05,31.99
2016,"80 years and over","Chronic Obstructive Pulmonary Disease",388838.79,34.83
2012,"80 years and over","Chronic Obstructive Pulmonary Disease",379080.02,38.07
2011,"80 years and over","Chronic Obstructive Pulmonary Disease",370106.42,38.66
2010,"80 years and over","Chronic Obstructive Pulmonary Disease",350555.46,39.09
2018,"80 years and over","Acute Lower Respiratory Infections",202707.76,21.69
2019,"80 years and over","Acute Lower Respiratory Infections",200591.15,21.04
2017,"80 years and over","Acute Lower Respiratory Infections",198599.25,21.83
2016,"80 years and over","Acute Lower Respiratory Infections",191444.61,22.04
2015,"80 years and over","Acute Lower Respiratory Infections",189569.99,22.78
2013,"80 years and over","Acute Lower Respiratory Infections",187410.97,23.4
2014,"80 years and over","Acute Lower Respiratory Infections",185222.07,22.91
2012,"80 years and over","Acute Lower Respiratory Infections",171911.52,22.72
2011,"80 years and over","Acute Lower Respiratory Infections",166269.77,22.91
2010,"80 years and over","Acute Lower Respiratory Infections",157749.68,23.15
2013,"80 years and over","Lung Cancer",53940.55,4.23
2017,"80 years and over","Lung Cancer",51847.91,3.57
2014,"80 years and over","Lung Cancer",51492.18,3.96
2018,"80 years and over","Lung Cancer",50386.37,3.39
2015,"80 years and over","Lung Cancer",50384.28,3.83
2016,"80 years and over","Lung Cancer",50076.42,3.62
2019,"80 years and over","Lung Cancer",49193.4,3.23
2012,"80 years and over","Lung Cancer",47622.2,3.92
2011,"80 years and over","Lung Cancer",46527.74,4.0
2010,"80 years and over","Lung Cancer",42581.84,3.91
